Time,ms,Acc_x,Acc_y,Acc_z,Ori_x,Ori_y,Ori_z,Spoon_loc_x,Spoon_loc_y,Spoon_loc_z,Score,Out,Trials,Remains
03:41:27.356,1,-0.09,0.04,0.05,22,248.1,-27.3,0.7446846,1.360906,0.03416014,1,6,7,121
03:41:27.383,27,-0.08,0.02,0.05,22,248.1,-27.3,0.7441725,1.3608,0.03472805,1,6,7,121
03:41:27.402,46,-0.06,0.01,0.06,22,248.1,-27.3,0.7435364,1.36073,0.03527308,1,6,7,121
03:41:27.432,77,-0.11,-0.01,-0.02,22,248.1,-27.3,0.7428698,1.360809,0.03565192,1,6,7,121
03:41:27.462,106,-0.11,0.02,-0.01,22,248.1,-27.3,0.7427,1.360785,0.03586054,1,6,7,121
03:41:27.495,140,0.02,-0.02,0.03,22,248.1,-27.3,0.7425961,1.360697,0.03576207,1,6,7,121
03:41:27.520,164,0.14,-0.03,0.08,22,248.1,-27.2,0.7424511,1.360902,0.03550434,2,6,8,120
03:41:27.549,193,0.08,-0.03,0.09,22,248.1,-27.2,0.7421679,1.360968,0.03547788,2,6,8,120
03:41:27.598,242,0.08,-0.01,0.09,22,248.1,-27.2,0.7419609,1.361028,0.03543139,2,6,8,120
03:41:27.631,275,0.04,-0.01,0.08,22,248.2,-27.2,0.742,1.36111,0.03518891,2,6,8,120
03:41:27.651,294,-0.01,0.06,0.06,22,248.2,-27.2,0.7425351,1.360936,0.03428531,2,6,8,120
03:41:27.669,314,0,0.01,0.1,22,248.2,-27.2,0.7427744,1.360847,0.03380322,2,6,8,120
03:41:27.710,354,0,0,0.08,22,248.2,-27.2,0.7428212,1.360585,0.03370595,2,6,8,120
03:41:27.745,388,0,0.03,0.06,22,248.2,-27.2,0.7431626,1.360295,0.0335331,2,6,8,120
03:41:27.767,411,0.07,0,0.09,22,248.2,-27.2,0.7437472,1.360291,0.03287601,2,6,8,120
03:41:27.788,432,0.04,0.01,0.1,22.1,248.2,-27.2,0.7440943,1.360511,0.03216553,2,6,8,120
03:41:27.807,451,0.05,0.03,0.07,22.1,248.3,-27.2,0.7438712,1.360941,0.03207254,2,6,8,120
03:41:27.836,480,0.04,0,0.05,22.1,248.3,-27.1,0.7436575,1.361379,0.03204274,2,6,8,120
03:41:27.857,500,-0.19,-0.16,0,22.1,248.3,-27.1,0.743565,1.361632,0.03225899,2,6,8,120
03:41:27.897,541,-0.08,-0.16,0.01,22.1,248.3,-27,0.7432961,1.361848,0.0322907,2,6,8,120
03:41:27.919,563,-0.28,0.05,-0.06,22.1,248.1,-26.3,0.7432436,1.361819,0.03241396,2,6,8,120
03:41:27.940,583,-0.35,0.05,-0.09,22.1,248.1,-26.2,0.7431635,1.361798,0.03253341,2,6,8,120
03:41:27.961,605,-0.46,-0.01,-0.11,22,248,-25.9,0.7431769,1.361688,0.0325048,2,6,8,120
03:41:27.995,638,-0.4,-0.01,-0.21,22,247.8,-25.3,0.7434363,1.361395,0.03240442,1,7,8,120
03:41:28.014,658,-0.41,-0.01,-0.21,21.9,247.8,-25.1,0.7444109,1.360768,0.03206229,1,7,8,120
03:41:28.057,701,-0.28,0.02,-0.05,21.9,247.8,-24.7,0.7458319,1.359823,0.03163266,1,7,8,120
03:41:28.087,731,-0.5,-0.12,0,21.8,247.9,-23.9,0.7483038,1.358628,0.03039885,1,7,8,120
03:41:28.107,751,-0.46,-0.16,0.34,21.6,248,-22.6,0.7533087,1.358041,0.02634835,1,7,8,120
03:41:28.136,781,-0.33,0.14,0.4,21.5,248.1,-21.8,0.7567019,1.357749,0.02372098,1,7,8,120
03:41:28.170,814,-0.31,0.45,0.24,21.5,248.3,-20.9,0.7577357,1.357595,0.0225389,1,7,8,120
03:41:28.193,837,-0.35,0.37,0.11,21.5,248.5,-19.4,0.7594084,1.357466,0.02088404,1,7,8,120
03:41:28.224,868,-0.08,0.23,-0.04,21.6,248.6,-18.1,0.7605013,1.359275,0.0181644,1,7,8,120
03:41:28.242,886,-0.35,0.06,0.09,21.5,249,-14.7,0.760096,1.360927,0.01580667,1,7,8,120
03:41:28.272,917,-0.29,0.16,0.15,21.6,249.1,-13.2,0.7600083,1.362535,0.01306415,1,7,8,120
03:41:28.303,948,-0.22,0.3,0.07,21.6,249.3,-11.4,0.7610459,1.363071,0.01096988,1,7,8,120
03:41:28.337,981,0.23,0.54,0.11,21.7,249.5,-8.5,0.7642893,1.362957,0.005970716,1,7,8,120
03:41:28.366,1009,-0.31,0.75,-0.42,21.9,249.7,-5.5,0.767446,1.363275,-0.004829407,1,7,8,120
03:41:28.397,1041,0.38,0.52,-0.82,22.4,250.3,-1.3,0.7700304,1.362793,-0.02121639,1,7,8,120
03:41:28.428,1073,0.48,0.25,-0.71,22.8,250.7,1.9,0.7726902,1.36009,-0.04336905,1,7,8,120
03:41:28.457,1102,0.22,0.05,-0.21,23,251.3,6.7,0.7739128,1.356236,-0.05212641,1,7,8,120
03:41:28.479,1124,0.02,0.01,-0.31,23,251.6,7.5,0.7691006,1.354189,-0.07388592,1,7,8,120
03:41:28.512,1155,0.19,-0.09,-0.04,23,252.1,10,0.7653937,1.350901,-0.09050536,1,7,8,120
03:41:28.541,1185,0.29,-0.08,0.14,23,252.4,11.6,0.7656083,1.348476,-0.08985472,1,7,8,120
03:41:28.559,1203,0.3,-0.17,0.08,23.1,252.8,14.1,0.765037,1.344392,-0.09564567,1,7,8,120
03:41:28.574,1218,0.5,-0.32,0,23.2,253.3,16.5,0.7668061,1.342667,-0.09346056,1,7,8,120
03:41:28.591,1235,0.5,-0.32,0,23.2,253.3,16.5,0.7668061,1.342667,-0.09346056,1,7,8,120
03:41:28.613,1257,0.65,-0.29,-0.09,23.3,253.4,17.2,0.7685665,1.340502,-0.09278297,1,7,8,120
03:41:28.646,1290,0.66,-0.26,-0.11,23.5,253.6,18.8,0.7706007,1.337801,-0.09277129,1,7,8,120
03:41:28.664,1309,0.68,-0.19,-0.1,23.8,254.2,21.9,0.7714314,1.338282,-0.09057617,1,7,8,120
03:41:28.687,1331,0.31,0.07,0.03,23.9,254.4,23,0.773601,1.335002,-0.09284186,1,7,8,120
03:41:28.709,1353,0.45,0.14,0.01,24,254.6,24.1,0.7748141,1.333023,-0.09455371,1,7,8,120
03:41:28.745,1389,0.29,0.1,-0.01,24.1,254.8,25.3,0.7757153,1.333006,-0.09638453,1,7,8,120
03:41:28.766,1410,0.07,0.07,-0.23,24.3,255.1,26.3,0.77741,1.331785,-0.09759021,1,7,8,120
03:41:28.784,1429,0.28,0.31,-0.13,24.7,255.6,28.8,0.7790188,1.330625,-0.1003144,1,7,8,120
03:41:28.825,1470,0.28,0.35,-0.05,24.8,255.7,29.4,0.780971,1.327785,-0.1031029,1,7,8,120
03:41:28.865,1509,0.19,0.23,-0.2,25.5,257,33.6,0.78128,1.325946,-0.1066937,1,7,8,120
03:41:28.880,1525,0.3,0.16,-0.45,25.8,257.7,35.4,0.7813725,1.323809,-0.1097982,1,7,8,120
03:41:28.903,1547,0.27,0.15,-0.46,25.9,258,36,0.7813057,1.321582,-0.1135805,1,7,8,120
03:41:28.936,1580,0.13,0.13,-0.31,26,258.9,38,0.781383,1.320037,-0.1154215,1,7,8,120
03:41:28.956,1600,0.15,0.12,-0.34,26,259.1,38.5,0.7811083,1.318554,-0.117171,1,7,8,120
03:41:28.989,1633,0.15,0.13,-0.39,26,259.3,39,0.7805237,1.316235,-0.1204567,1,7,8,120
03:41:29.020,1664,-0.26,0.22,0.04,25.9,260.8,41.7,0.7793526,1.316029,-0.1232758,1,7,8,120
03:41:29.038,1681,-0.16,0.18,-0.05,25.8,261.2,42.6,0.7777123,1.315852,-0.1263654,1,7,8,120
03:41:29.068,1711,-0.09,0.14,-0.04,25.8,261.5,43,0.776566,1.314288,-0.1289411,1,7,8,120
03:41:29.100,1744,-0.14,0.13,0.12,25.5,262.5,44.9,0.7754912,1.314507,-0.1302826,1,7,8,120
03:41:29.133,1777,-0.11,0.16,0.18,25.4,262.7,45.2,0.7749838,1.311988,-0.1323292,1,7,8,120
03:41:29.160,1803,0.16,0.04,0.01,25,263.8,46.6,0.7751173,1.308024,-0.1329253,1,7,8,120
03:41:29.192,1836,0.21,0.07,-0.01,24.9,264,46.8,0.7755122,1.304235,-0.1337993,1,7,8,120
03:41:29.207,1851,0.07,0.08,-0.06,24.7,264.5,47.5,0.7760939,1.300746,-0.1339691,1,7,8,120
03:41:29.224,1868,-0.02,0.1,-0.04,24.6,264.8,47.8,0.7767205,1.296183,-0.1343474,1,7,8,120
03:41:29.297,1941,0.01,0.04,-0.07,24,266,48.6,0.7773079,1.29418,-0.1340556,1,7,8,120
03:41:29.352,1995,0.03,0.05,-0.09,24,266.1,48.7,0.7789826,1.290905,-0.132165,1,7,8,120
03:41:29.392,2036,-0.21,0.06,0,23.3,266.9,49,0.7806525,1.286821,-0.1304791,1,7,8,120
03:41:29.429,2073,-0.03,0.17,0.08,23,267.3,49.1,0.7812514,1.279187,-0.1325715,1,7,8,120
03:41:29.472,2116,0.01,0.1,0.07,22.4,267.8,49.3,0.7811446,1.278233,-0.133425,1,7,8,120
03:41:29.513,2157,0.17,0.09,0.06,21.8,268.3,49.3,0.7780241,1.273067,-0.1422179,1,7,8,120
03:41:29.533,2176,0.05,0.03,0.03,21.2,268.8,49.3,0.7764544,1.270501,-0.146682,1,7,8,120
03:41:29.549,2193,0.03,-0.03,-0.14,20.9,269,49.1,0.7741398,1.266204,-0.1541686,1,7,8,120
03:41:29.570,2215,0.08,-0.05,-0.09,20.7,269.1,49.1,0.7741398,1.266204,-0.1541686,1,7,8,120
03:41:29.603,2248,0.1,-0.01,0,20.5,269.2,49,0.7726397,1.262883,-0.1599166,1,7,8,120
03:41:29.618,2263,0.22,-0.03,0.05,18.7,270.1,47.8,0.7716507,1.261793,-0.1639652,1,7,8,120
03:41:29.632,2276,0.22,-0.03,0.05,18.7,270.1,47.8,0.7716507,1.261793,-0.1639652,1,7,8,120
03:41:29.647,2291,0.23,-0.04,0.07,18.5,270.2,47.6,0.770224,1.262517,-0.1720734,1,7,8,120
03:41:29.686,2330,0.09,-0.09,-0.03,17.3,270.7,46.4,0.769833,1.262609,-0.1751044,1,7,8,120
03:41:29.711,2355,-0.04,-0.14,-0.11,16.6,270.9,45.7,0.7696604,1.266247,-0.1756301,1,7,8,120
03:41:29.729,2374,-0.07,-0.08,-0.16,16.1,271.2,45,0.769071,1.270378,-0.1777053,1,7,8,120
03:41:29.739,2384,-0.04,-0.05,-0.2,15.5,271.4,44.3,0.7703165,1.272833,-0.176003,1,7,8,120
03:41:29.782,2426,0.04,-0.02,-0.11,15.1,271.5,44,0.7706847,1.273703,-0.1764975,1,7,8,120
03:41:29.814,2458,0.09,0,-0.17,14.2,271.8,42.9,0.7729611,1.273404,-0.1733005,1,7,8,120
03:41:29.831,2475,0.18,0,-0.11,13,272,41.3,0.7751383,1.271546,-0.172025,1,7,8,120
03:41:29.860,2504,0.28,0.05,-0.02,11.6,272.2,39.5,0.7764086,1.269992,-0.1719875,1,7,8,120
03:41:29.885,2530,0.16,0.05,-0.07,10.9,272.4,38.5,0.7774443,1.268765,-0.1735971,1,7,8,120
03:41:29.913,2558,0.03,0.11,0.1,10.5,272.5,37.9,0.7784428,1.266654,-0.1768501,1,7,8,120
03:41:29.937,2581,0.15,0.13,0.15,9.1,272.6,35.2,0.7790827,1.265263,-0.1790218,1,8,9,119
03:41:29.968,2612,0.11,0.15,0.14,8.8,272.6,34.6,0.7788395,1.26297,-0.1824858,1,8,9,119
03:41:29.992,2635,-0.14,0.13,0.04,8,272.8,32.8,0.7785448,1.262792,-0.1845274,1,8,9,119
03:41:30.027,2670,-0.1,-0.07,0,7,272.9,30.7,0.7786068,1.263844,-0.1862977,1,8,9,119
03:41:30.056,2700,-0.22,0,0.19,6.3,272.8,29.3,0.7786412,1.265649,-0.1873262,1,8,9,119
03:41:30.083,2727,0.14,-0.07,0.04,5.5,273,27.8,0.7783198,1.268804,-0.1891921,1,8,9,119
03:41:30.114,2759,0.06,-0.05,-0.02,4.7,273.1,26.6,0.7783684,1.271339,-0.1898153,1,8,9,119
03:41:30.157,2801,0.09,-0.03,-0.04,4.1,273.2,25.3,0.778129,1.274573,-0.1904762,1,8,9,119
03:41:30.181,2825,0.02,0.03,-0.07,3.4,273.3,24.1,0.7787527,1.273911,-0.189806,1,8,9,119
03:41:30.214,2858,-0.1,0.04,0.02,3.1,273.3,23.7,0.7791628,1.274581,-0.18892,1,8,9,119
03:41:30.245,2889,-0.11,0.04,-0.01,2.7,273.4,22.9,0.7795309,1.274163,-0.1883731,1,8,9,119
03:41:30.265,2909,-0.08,0.19,0.03,1.6,273.6,20.9,0.7805199,1.273437,-0.187901,1,8,9,119
03:41:30.299,2942,-0.33,0.14,0.12,1,273.6,19.6,0.7823805,1.272949,-0.1862571,1,8,9,119
03:41:30.335,2979,-0.33,0.14,0.12,0.8,273.6,19.4,0.7839484,1.27271,-0.185348,1,8,9,119
03:41:30.368,3012,-0.09,0.1,0.08,0.6,273.7,18.9,0.7862601,1.272674,-0.1842828,1,8,9,119
03:41:30.392,3036,-0.05,0.07,0.13,0,273.8,17.9,0.7885031,1.273685,-0.1832616,1,9,10,118
03:41:30.416,3060,-0.24,0.17,0.26,-0.3,274,17.3,0.7904133,1.275458,-0.1829984,1,9,10,118
03:41:30.439,3083,0.01,0.04,0.18,-0.4,274,17.1,0.7918038,1.276665,-0.1828411,1,9,10,118
03:41:30.469,3113,0.1,-0.02,0.17,-0.4,274,17,0.7921852,1.276671,-0.1830549,1,9,10,118
03:41:30.503,3147,-0.09,0.07,0.2,-0.5,274.1,16.9,0.7931799,1.276805,-0.1830192,1,9,10,118
03:41:30.527,3170,-0.07,0.03,0.08,-0.5,274,17,0.7944807,1.277454,-0.182451,1,9,10,118
03:41:30.552,3197,-0.09,0.01,-0.03,-0.5,274,16.9,0.7950777,1.278733,-0.182198,1,9,10,118
03:41:30.575,3219,-0.14,0,-0.08,-0.4,274,16.9,0.7953066,1.280088,-0.181931,1,9,10,118
03:41:30.608,3252,-0.28,-0.01,-0.09,-0.4,274,16.9,0.7956395,1.282224,-0.1815789,1,9,10,118
03:41:30.631,3274,-0.38,0.03,-0.13,-0.4,274,16.9,0.7960801,1.283872,-0.1816411,1,10,11,117
03:41:30.648,3292,-0.24,0.04,-0.06,-0.3,274,17,0.7969183,1.285613,-0.1817398,1,10,11,117
03:41:30.669,3312,-0.2,0.01,-0.04,-0.2,274.1,17.1,0.797501,1.286819,-0.1818125,1,11,12,116
03:41:30.703,3347,-0.13,0.02,-0.03,-0.2,274.1,17.2,0.7984099,1.286875,-0.181391,1,11,12,116
03:41:30.726,3370,-0.05,0.02,0,0,274.2,17.3,0.7992682,1.287221,-0.1815097,1,11,12,116
03:41:30.741,3385,-0.08,0,0.02,0,274.2,17.3,0.8008389,1.286965,-0.1814983,1,11,12,116
03:41:30.764,3408,-0.14,0.03,0.06,0,274.3,17.3,0.8019938,1.286795,-0.1814959,1,11,12,116
03:41:30.799,3443,-0.05,0.02,-0.04,0.3,274.3,17.4,0.8029169,1.287456,-0.1815608,1,12,13,115
03:41:30.821,3465,-0.02,0,-0.04,0.3,274.3,17.3,0.8032917,1.288235,-0.1821883,1,13,14,114
03:41:30.865,3509,-0.01,-0.1,-0.16,0.6,274.4,17.3,0.8037953,1.289188,-0.1829674,1,13,14,114
03:41:30.900,3544,-0.14,-0.02,-0.04,0.8,274.4,17.3,0.8042607,1.290165,-0.1833227,2,13,15,113
03:41:30.923,3567,-0.1,0,0,0.9,274.4,17.3,0.8046021,1.291881,-0.1843772,2,13,15,113
03:41:30.956,3600,-0.16,0.06,0.01,1.1,274.4,17.3,0.8048329,1.293787,-0.1852174,2,13,15,113
03:41:30.988,3633,-0.19,0.09,0.07,1.1,274.4,17.3,0.8047919,1.296011,-0.185657,2,13,15,113
03:41:31.010,3654,-0.26,0.03,0.04,1.3,274.4,17.3,0.8046936,1.29911,-0.1864254,2,13,15,113
03:41:31.044,3688,-0.16,0.04,-0.01,1.4,274.5,17.3,0.8050818,1.30138,-0.1865544,2,13,15,113
03:41:31.077,3721,0.11,-0.04,0.08,1.6,274.5,17.5,0.8056702,1.302854,-0.1870592,2,13,15,113
03:41:31.101,3745,0.03,0,0.06,1.8,274.5,17.6,0.8062491,1.304406,-0.1880009,2,13,15,113
03:41:31.145,3789,0,-0.06,-0.01,1.9,274.6,17.6,0.8063349,1.306292,-0.189115,2,14,16,112
03:41:31.179,3824,0,-0.03,-0.09,2.3,274.5,17.7,0.8065619,1.307327,-0.1896164,2,14,16,112
03:41:31.213,3857,-0.06,-0.02,-0.08,2.3,274.5,17.6,0.807816,1.309166,-0.1893861,1,16,17,111
03:41:31.229,3873,-0.19,0,-0.03,2.5,274.5,17.6,0.8082251,1.311085,-0.1901622,1,16,17,111
03:41:31.256,3900,-0.18,0.03,0.01,2.7,274.5,17.6,0.8081898,1.313586,-0.1915896,1,16,17,111
03:41:31.277,3921,-0.2,-0.03,-0.08,2.8,274.7,17.5,0.808803,1.314329,-0.1922655,1,16,17,111
03:41:31.300,3944,-0.2,0.03,-0.03,2.9,274.7,17.5,0.8092055,1.31482,-0.1925933,2,16,18,110
03:41:31.317,3961,-0.25,0.01,-0.02,2.9,274.7,17.5,0.8099446,1.315234,-0.1933651,2,16,18,110
03:41:31.336,3980,-0.21,-0.03,-0.06,3,274.7,17.5,0.8105921,1.315797,-0.1940179,2,16,18,110
03:41:31.368,4012,-0.14,-0.04,-0.03,3,274.8,17.5,0.8105673,1.316556,-0.1949432,2,16,18,110
03:41:31.393,4037,-0.16,0.01,0,3.1,274.9,17.6,0.810945,1.316908,-0.1952698,2,17,19,109
03:41:31.422,4066,-0.08,-0.02,0.01,3.3,275,17.8,0.811089,1.317039,-0.195998,2,16,18,110
03:41:31.456,4100,-0.1,0.03,0.05,3.3,275,18,0.8111405,1.317246,-0.1965516,2,16,18,110
03:41:31.476,4121,-0.16,0,0.01,3.4,275.1,18.1,0.8114638,1.317459,-0.1980135,2,17,19,109
03:41:31.493,4137,-0.16,0,0.01,3.4,275.1,18.1,0.8114638,1.317459,-0.1980135,2,17,19,109
03:41:31.518,4163,-0.06,-0.02,-0.02,3.5,275.2,18.2,0.8116154,1.320467,-0.2019749,2,18,20,108
03:41:31.552,4196,-0.08,-0.01,0,3.6,275.2,18.3,0.8116154,1.320467,-0.2019749,2,18,20,108
03:41:31.572,4216,-0.12,-0.01,0.01,3.7,275.3,18.4,0.8111014,1.322468,-0.2045252,2,18,20,108
03:41:31.617,4261,-0.14,0,-0.01,3.8,275.3,18.5,0.8112893,1.324464,-0.2061539,2,20,22,106
03:41:31.652,4296,-0.12,0.01,0,4,275.4,18.8,0.8112893,1.324464,-0.2061539,2,20,22,106
03:41:31.669,4313,-0.11,0.04,-0.03,4.1,275.5,19.1,0.8127226,1.324382,-0.2077081,3,20,23,105
03:41:31.698,4342,-0.14,-0.01,-0.08,4.2,275.7,19.2,0.8130507,1.324407,-0.2081153,3,20,23,105
03:41:31.741,4385,-0.18,0,-0.01,4.3,275.9,19.4,0.8137736,1.324834,-0.2089615,4,19,23,105
03:41:31.780,4424,-0.16,-0.01,-0.03,4.3,276.1,19.6,0.8146996,1.325109,-0.2104676,3,19,22,106
03:41:31.798,4442,-0.16,-0.02,-0.01,4.3,276.1,19.6,0.8156704,1.325549,-0.2122362,3,19,22,106
03:41:31.833,4477,-0.16,0,-0.07,4.3,276.2,19.7,0.8163704,1.326639,-0.2136798,3,19,22,106
03:41:31.857,4501,-0.18,-0.05,-0.01,4.4,276.4,19.8,0.8175368,1.326773,-0.2145953,3,19,22,106
03:41:31.887,4531,-0.19,-0.08,0.02,4.4,276.5,19.8,0.8184876,1.327815,-0.2159877,3,19,22,106
03:41:31.917,4561,-0.12,0,0.06,4.4,276.7,20.1,0.8189606,1.328352,-0.2167921,3,19,22,106
03:41:31.935,4580,-0.17,0.03,0.13,4.4,276.9,20.1,0.8203959,1.328507,-0.218271,3,19,22,106
03:41:31.954,4598,-0.17,0.05,0.15,4.4,277,20.1,0.8216681,1.328682,-0.219826,3,20,23,105
03:41:31.973,4617,-0.08,-0.04,0.09,4.5,277.1,20.2,0.8223719,1.328713,-0.2207501,3,20,23,105
03:41:32.011,4655,-0.16,0,0.1,4.5,277.3,20.3,0.8223719,1.328713,-0.2207501,3,20,23,105
