Time,ms,Acc_x,Acc_y,Acc_z,Ori_x,Ori_y,Ori_z,Spoon_loc_x,Spoon_loc_y,Spoon_loc_z,Score,Out,Trials,Remains
04:57:21.592,1,-0.16,0.01,0.08,17.3,265.1,-3.9,0.7482647,1.412497,-0.1217048,3,1,4,124
04:57:21.631,40,0.02,-0.05,0.07,17.3,265.2,-3.9,0.7481837,1.412732,-0.1217177,3,1,4,124
04:57:21.659,68,-0.05,0,0.1,17.3,265.2,-3.9,0.748259,1.41271,-0.1217198,3,1,4,124
04:57:21.700,109,-0.06,-0.01,0.18,17.3,265.3,-3.7,0.7481007,1.412944,-0.1219182,3,1,4,124
04:57:21.752,161,-0.06,0.02,0.12,17.3,265.3,-3.7,0.7480235,1.413094,-0.1222453,3,1,4,124
04:57:21.798,207,0,-0.06,-0.01,17.3,265.3,-3.6,0.7482552,1.412786,-0.1229327,3,1,4,124
04:57:21.830,238,0.05,-0.01,0.05,17.4,265.5,-3.4,0.748629,1.412239,-0.1233473,3,1,4,124
04:57:21.868,277,-0.11,0,0.11,17.4,265.5,-3.4,0.7487721,1.412264,-0.1236889,3,1,4,124
04:57:21.902,311,-0.01,-0.03,0.08,17.5,265.6,-3.4,0.7486719,1.41253,-0.1239917,3,1,4,124
04:57:21.942,351,0.02,-0.03,0.02,17.5,265.6,-3.4,0.748651,1.412692,-0.1242843,3,1,4,124
04:57:21.988,396,-0.04,0,0,17.5,265.7,-3.3,0.7486176,1.412832,-0.1242907,3,1,4,124
04:57:22.010,419,-0.07,-0.01,-0.06,17.5,265.8,-3.2,0.7485699,1.413128,-0.1244841,3,1,4,124
04:57:22.046,455,-0.01,0.05,-0.05,17.5,266,-3,0.7485337,1.413497,-0.1246479,3,1,4,124
04:57:22.100,509,-0.09,0.17,0.04,17.4,266,-2.9,0.7485957,1.413478,-0.1251624,3,1,4,124
04:57:22.133,542,0.03,0.46,-0.1,17.3,266.3,-2.2,0.7490467,1.412883,-0.1259809,3,1,4,124
04:57:22.177,586,-0.03,0.44,-0.16,17.3,266.3,-1.9,0.7498593,1.411849,-0.1261322,3,1,4,124
04:57:22.207,616,-0.2,0.26,-0.25,17.4,266.2,-0.4,0.7501673,1.411013,-0.1257434,3,1,4,124
04:57:22.252,661,0.03,0.18,-0.29,17.6,266.1,2.5,0.7498135,1.409144,-0.1252728,3,1,4,124
04:57:22.286,695,0.11,-0.04,-0.33,17.7,266.2,3,0.7493004,1.40777,-0.1255391,3,1,4,124
04:57:22.327,736,0.15,0.08,-0.14,17.8,266.4,4.6,0.7475457,1.403255,-0.1262887,3,1,4,124
04:57:22.379,788,0.07,0.06,-0.21,18.3,266.5,7.8,0.7463202,1.397243,-0.1298449,3,1,4,124
04:57:22.403,812,0.07,-0.25,-0.22,18.5,266.6,10.6,0.7455305,1.389466,-0.132519,3,1,4,124
04:57:22.450,858,0.17,-0.32,-0.04,18.5,266.6,11.6,0.7447199,1.378023,-0.132385,3,1,4,124
04:57:22.493,902,0.36,-0.35,0.03,18.4,266.5,13.4,0.7449507,1.372998,-0.1359453,3,1,4,124
04:57:22.527,936,0.28,-0.42,0.21,18.2,266.2,15.1,0.7435507,1.366022,-0.1400883,3,1,4,124
04:57:22.564,974,0.06,-0.31,0.26,18.1,266.3,15.3,0.7426457,1.363508,-0.1425512,3,1,4,124
04:57:22.600,1009,-0.23,-0.16,0.4,17.8,266.3,15.5,0.7409834,1.363308,-0.1416457,3,1,4,124
04:57:22.642,1051,-0.26,-0.18,0.38,17.5,266.3,15.5,0.7396931,1.364406,-0.1391981,3,1,4,124
04:57:22.688,1097,-0.14,-0.16,0.38,17.4,266.3,15.5,0.7397141,1.365582,-0.1350448,3,1,4,124
04:57:22.733,1142,-0.09,-0.01,0.27,17.5,266.4,15.8,0.7398047,1.366529,-0.1326864,3,1,4,124
04:57:22.762,1171,0,-0.03,0.23,17.5,266.4,15.9,0.7399039,1.366574,-0.131233,3,1,4,124
04:57:22.808,1217,0.02,0.01,0.16,17.6,266.4,16.5,0.7398762,1.366371,-0.1294286,3,1,4,124
04:57:22.844,1253,-0.06,0.09,0.21,17.9,266.3,17.5,0.740415,1.364774,-0.1277826,3,1,4,124
04:57:22.886,1295,-0.01,0.02,-0.11,18.3,266.4,19.1,0.7420134,1.361614,-0.128155,3,1,4,124
04:57:22.930,1339,-0.13,0.04,-0.14,18.7,266.3,21.2,0.7434048,1.35819,-0.1287086,3,1,4,124
04:57:22.954,1362,0.11,0.06,-0.28,19.4,266.1,23.8,0.7455897,1.352672,-0.1301436,3,1,4,124
04:57:23.006,1415,-0.04,0.11,-0.17,19.8,266,25.7,0.7465128,1.348847,-0.1317551,3,1,4,124
04:57:23.049,1458,-0.43,0.14,-0.13,20.6,265.9,28.7,0.747148,1.345832,-0.1334507,3,1,4,124
04:57:23.087,1496,-0.18,0.05,-0.1,21.3,266.1,31.7,0.7468256,1.342771,-0.1358356,3,1,4,124
04:57:23.127,1536,-0.09,0.03,-0.14,21.8,266.1,33.5,0.7463774,1.33888,-0.1376877,3,1,4,124
04:57:23.180,1588,-0.52,0.12,-0.01,22.3,266.4,35.8,0.746695,1.335206,-0.1384082,3,1,4,124
04:57:23.202,1611,-0.26,0.21,-0.17,23.8,267,39.4,0.7467656,1.333592,-0.1377163,3,1,4,124
04:57:23.242,1651,-0.19,0.37,0.21,24.9,267.4,41.6,0.7467951,1.329065,-0.1362574,3,1,4,124
04:57:23.283,1691,-0.14,-0.07,-0.33,25.5,267.7,42.7,0.7466273,1.32561,-0.1355226,3,1,4,124
04:57:23.314,1723,-0.16,0.12,0.07,27.3,268.6,45.6,0.7459368,1.3202,-0.1374061,3,1,4,124
04:57:23.334,1742,-0.04,0.11,0.27,27.6,268.8,46.1,0.7452425,1.311437,-0.139015,3,1,4,124
04:57:23.374,1783,0.05,-0.05,-0.01,29.1,269.7,48,0.7453579,1.304518,-0.1396589,3,1,4,124
04:57:23.409,1818,0.05,-0.05,-0.01,29.5,269.9,48.3,0.7458557,1.299545,-0.1391754,3,1,4,124
04:57:23.450,1859,0.03,0.09,0.36,30.3,270.7,49.5,0.7467579,1.290863,-0.1389854,3,1,4,124
04:57:23.486,1895,0.06,-0.1,-0.13,30.8,271.5,50.3,0.7468142,1.282022,-0.1412728,3,1,4,124
04:57:23.524,1933,0.19,-0.01,-0.06,30.9,272.6,51.3,0.7469439,1.278089,-0.1431651,3,1,4,124
04:57:23.553,1961,0.42,-0.12,-0.16,30.7,273.6,52.1,0.7458281,1.275774,-0.1481502,3,1,4,124
04:57:23.591,2000,0.13,-0.11,-0.13,30.3,274.2,52.3,0.7445359,1.276644,-0.1525497,3,1,4,124
04:57:23.640,2049,0.03,-0.13,-0.09,29.9,274.8,52.6,0.7436737,1.277801,-0.1534998,3,1,4,124
04:57:23.686,2095,0.03,-0.23,-0.16,28.6,275.7,53,0.7425551,1.279202,-0.1547282,3,1,4,124
04:57:23.724,2133,0.31,-0.29,-0.03,25.6,276.8,52.9,0.7409891,1.278388,-0.1591198,3,1,4,124
04:57:23.760,2169,0.31,-0.29,-0.03,25.6,276.8,52.9,0.7409891,1.278388,-0.1591198,3,1,4,124
04:57:23.796,2205,0.46,-0.33,-0.06,21.6,277.5,52.4,0.738645,1.276945,-0.1689177,3,1,4,124
04:57:23.834,2243,0.01,-0.24,-0.37,18.8,277.6,51.9,0.7376379,1.277133,-0.1733415,3,1,4,124
04:57:23.865,2274,-0.11,-0.03,-0.28,18,277.5,51.6,0.7347092,1.279593,-0.1800845,3,1,4,124
04:57:23.903,2312,0.22,0.17,0.46,15.3,277.5,51,0.7292742,1.284797,-0.189997,3,2,5,123
04:57:23.956,2365,0.06,0.08,-0.03,8.2,278.8,48.6,0.7278818,1.285929,-0.1954973,3,3,6,122
04:57:24.000,2409,0.36,-0.08,-0.07,5,279.7,47.3,0.7278628,1.28543,-0.2000797,3,1,4,124
04:57:24.033,2442,0.3,-0.18,-0.35,3.1,280.3,46.3,0.7296929,1.284722,-0.2006874,3,1,4,124
