Time,ms,Acc_x,Acc_y,Acc_z,Ori_x,Ori_y,Ori_z,Marker_loc_x,Marker_loc_y,Marker_loc_z,Tip_loc_x,Tip_loc_y,Tip_loc_z,
00:27:59.266,2,0.25,-0.03,-1.52,5.56,163.56,-51.69,0.967403,1.255976,-0.3395636,0.9847397,1.277952,-0.3366785,0
00:27:59.301,37,0.23,-0.31,-1.55,4.19,163.5,-50.31,0.9713447,1.253048,-0.3379471,0.9890252,1.274644,-0.3343601,0
00:27:59.336,72,0.64,-0.11,-1.4,-0.44,164,-45.94,0.9753022,1.249845,-0.3355062,0.9940702,1.270066,-0.329963,0
00:27:59.364,100,0.62,-0.35,-1.47,-5,164.56,-40.94,0.9767442,1.248007,-0.3333862,0.996806,1.266376,-0.3261778,0
00:27:59.389,125,1.18,0.3,-1.07,-9.31,164.69,-35.44,0.9769477,1.246954,-0.3322916,0.9983634,1.263057,-0.3236921,0
00:27:59.425,161,1.36,0.97,-1.44,-12.06,164.75,-31.69,0.9769477,1.246954,-0.3322916,0.9992365,1.261411,-0.3230135,0
00:27:59.453,190,1.02,1.05,0.57,-16.44,165.12,-24.19,0.9769477,1.246954,-0.3322916,1.000918,1.258014,-0.322546,0
00:27:59.493,229,1.5,1.43,1.21,-19.44,165.38,-19.06,0.9769477,1.246954,-0.3322916,1.001912,1.25562,-0.322619,0
00:27:59.538,275,0.95,1.37,1.93,-21.44,165.38,-14.75,0.9769477,1.246954,-0.3322916,1.002618,1.253623,-0.3228889,0
00:27:59.574,310,0.66,0.68,1.48,-21.56,165,-13,0.9769477,1.246954,-0.3322916,1.00283,1.252842,-0.3229482,0
00:27:59.600,336,0.8,1.02,1.06,-21.56,164.5,-12.19,0.9769477,1.246954,-0.3322916,1.002869,1.252481,-0.3228371,0
00:27:59.624,360,0.8,0.77,1.23,-21.75,164.25,-11.88,0.9769477,1.246954,-0.3322916,1.002868,1.252335,-0.3227508,0
00:27:59.664,400,0.54,0.63,1.23,-21.69,164.19,-11.81,0.9769477,1.246954,-0.3322916,1.00287,1.252306,-0.3227391,0
00:27:59.706,442,0.29,0.26,1.2,-21.12,164.06,-12.81,0.9769477,1.246954,-0.3322916,1.002715,1.252774,-0.3225942,0
00:27:59.735,472,0.43,0.93,1.1,-20.06,163.5,-14.62,0.9769477,1.246954,-0.3322916,1.002363,1.253626,-0.3222222,0
00:27:59.775,512,0.6,0.93,0.75,-18.62,163.12,-17.69,0.9769477,1.246954,-0.3322916,1.001809,1.255058,-0.3218944,0
00:27:59.818,554,0.7,0.69,0.57,-17.38,163.25,-20.5,0.9769477,1.246954,-0.3322916,1.001339,1.256359,-0.3218765,0
00:27:59.846,583,0.62,0.28,0.61,-14.62,163.56,-24.94,0.9769477,1.246954,-0.3322916,1.000573,1.258436,-0.3221977,0
00:27:59.883,620,0.35,0.01,-0.02,-11.75,163.5,-29,0.9737583,1.253418,-0.3310885,0.9965675,1.266774,-0.3214347,0
00:27:59.909,646,0.41,0.13,-0.27,-8,163.38,-34.44,0.9721953,1.257184,-0.3314524,0.9937999,1.272943,-0.3226922,0
