Time,ms,Acc_x,Acc_y,Acc_z,Ori_x,Ori_y,Ori_z,Marker_loc_x,Marker_loc_y,Marker_loc_z,Tip_loc_x,Tip_loc_y,Tip_loc_z,
22:35:46.593,2,0.04,0.21,0.3,10.1,226.3,-20.4,0.3970874,0.5130118,-0.3168766,0.4140659,0.5226687,-0.3371334,0
22:35:46.597,6,0.04,0.21,0.3,10.1,226.3,-20.4,0.3970874,0.5130118,-0.3168766,0.4140659,0.5226687,-0.3371334,0
22:35:46.599,8,0.04,0.21,0.3,10.1,226.3,-20.4,0.3970874,0.5130118,-0.3168766,0.4140659,0.5226687,-0.3371334,0
22:35:46.602,11,0.04,0.21,0.3,10.1,226.3,-20.4,0.3970874,0.5130118,-0.3168766,0.4140659,0.5226687,-0.3371334,0
22:35:46.604,13,0.04,0.21,0.3,10.1,226.3,-20.4,0.3970874,0.5130118,-0.3168766,0.4140659,0.5226687,-0.3371334,0
22:35:46.607,16,0.04,0.21,0.3,10.1,226.3,-20.4,0.3970874,0.5130118,-0.3168766,0.4140659,0.5226687,-0.3371334,0
22:35:46.609,18,0.04,0.21,0.3,10.1,226.3,-20.4,0.3970874,0.5130118,-0.3168766,0.4140659,0.5226687,-0.3371334,0
22:35:46.612,21,-0.1,-0.25,0.34,10.1,226.5,-20.4,0.3970874,0.5130118,-0.3168766,0.4139951,0.5226687,-0.3371925,0
22:35:46.614,23,-0.1,-0.25,0.34,10.1,226.5,-20.4,0.3970874,0.5130118,-0.3168766,0.4139951,0.5226687,-0.3371925,0
22:35:46.617,26,-0.1,-0.25,0.34,10.1,226.5,-20.4,0.3970874,0.5130118,-0.3168766,0.4139951,0.5226687,-0.3371925,0
22:35:46.619,28,-0.1,-0.25,0.34,10.1,226.5,-20.4,0.3970874,0.5130118,-0.3168766,0.4139951,0.5226687,-0.3371925,0
22:35:46.622,31,-0.1,-0.25,0.34,10.1,226.5,-20.4,0.3970874,0.5130118,-0.3168766,0.4139951,0.5226687,-0.3371925,0
22:35:46.624,33,-0.1,-0.25,0.34,10.1,226.5,-20.4,0.3970874,0.5130118,-0.3168766,0.4139951,0.5226687,-0.3371925,0
22:35:46.627,36,-0.1,-0.25,0.34,10.1,226.5,-20.4,0.3970874,0.5130118,-0.3168766,0.4139951,0.5226687,-0.3371925,0
22:35:46.629,38,-0.1,-0.25,0.34,10.1,226.5,-20.4,0.3970874,0.5130118,-0.3168766,0.4139951,0.5226687,-0.3371925,0
22:35:46.632,41,0.27,-0.07,-0.24,10,226.6,-20.5,0.3970874,0.5130118,-0.3168766,0.4139542,0.5227169,-0.3372035,0
22:35:46.634,43,0.27,-0.07,-0.24,10,226.6,-20.5,0.3970874,0.5130118,-0.3168766,0.4139542,0.5227169,-0.3372035,0
22:35:46.637,46,0.27,-0.07,-0.24,10,226.6,-20.5,0.3970874,0.5130118,-0.3168766,0.4139542,0.5227169,-0.3372035,0
22:35:46.639,48,0.27,-0.07,-0.24,10,226.6,-20.5,0.3970874,0.5130118,-0.3168766,0.4139542,0.5227169,-0.3372035,0
22:35:46.642,51,0.27,-0.07,-0.24,10,226.6,-20.5,0.3970874,0.5130118,-0.3168766,0.4139542,0.5227169,-0.3372035,0
22:35:46.645,54,0.27,-0.07,-0.24,10,226.6,-20.5,0.3970874,0.5130118,-0.3168766,0.4139542,0.5227169,-0.3372035,0
22:35:46.647,56,0.27,-0.07,-0.24,10,226.6,-20.5,0.3970874,0.5130118,-0.3168766,0.4139542,0.5227169,-0.3372035,0
22:35:46.650,59,0.21,0.05,0.12,10,226.6,-20.5,0.3970874,0.5130118,-0.3168766,0.4139542,0.5227169,-0.3372035,0
22:35:46.653,61,0.21,0.05,0.12,10,226.6,-20.5,0.3970874,0.5130118,-0.3168766,0.4139542,0.5227169,-0.3372035,0
22:35:46.656,65,0.21,0.05,0.12,10,226.6,-20.5,0.3970874,0.5130118,-0.3168766,0.4139542,0.5227169,-0.3372035,0
22:35:46.659,68,0.21,0.05,0.12,10,226.6,-20.5,0.3970874,0.5130118,-0.3168766,0.4139542,0.5227169,-0.3372035,0
22:35:46.662,71,0.21,0.05,0.12,10,226.6,-20.5,0.3970874,0.5130118,-0.3168766,0.4139542,0.5227169,-0.3372035,0
22:35:46.665,74,0.21,0.05,0.12,10,226.6,-20.5,0.3970874,0.5130118,-0.3168766,0.4139542,0.5227169,-0.3372035,0
22:35:46.669,78,0.21,0.05,0.12,10,226.6,-20.5,0.3970874,0.5130118,-0.3168766,0.4139542,0.5227169,-0.3372035,0
22:35:46.672,81,0.23,0.1,-0.1,10,226.7,-20.5,0.3970874,0.5130118,-0.3168766,0.4139187,0.5227169,-0.3372328,0
22:35:46.676,84,0.23,0.1,-0.1,10,226.7,-20.5,0.3970874,0.5130118,-0.3168766,0.4139187,0.5227169,-0.3372328,0
22:35:46.679,88,0.23,0.1,-0.1,10,226.7,-20.5,0.3970874,0.5130118,-0.3168766,0.4139187,0.5227169,-0.3372328,0
22:35:46.683,92,0.23,0.1,-0.1,10,226.7,-20.5,0.3970874,0.5130118,-0.3168766,0.4139187,0.5227169,-0.3372328,0
22:35:46.687,96,0.23,0.1,-0.1,10,226.7,-20.5,0.3970874,0.5130118,-0.3168766,0.4139187,0.5227169,-0.3372328,0
22:35:46.692,101,0.23,-0.07,-0.03,10.1,226.8,-20.5,0.3970874,0.5130118,-0.3168766,0.4138708,0.522714,-0.3372738,0
22:35:46.696,105,0.23,-0.07,-0.03,10.1,226.8,-20.5,0.3970874,0.5130118,-0.3168766,0.4138708,0.522714,-0.3372738,0
22:35:46.699,108,0.23,-0.07,-0.03,10.1,226.8,-20.5,0.3970874,0.5130118,-0.3168766,0.4138708,0.522714,-0.3372738,0
22:35:46.702,111,0.23,-0.07,-0.03,10.1,226.8,-20.5,0.3970874,0.5130118,-0.3168766,0.4138708,0.522714,-0.3372738,0
